Date,Open,High,Low,Close,Volume
2020-01-01,100.0,100.0,99.14,99.63,100000.0
2020-01-02,99.63,100.6,97.41,100.6,81162.0
2020-01-03,100.6,101.39,100.58,100.74,112439.0
2020-01-06,100.74,104.87,100.2,104.87,183188.0
2020-01-07,104.87,108.19,104.87,108.19,76903.0
2020-01-08,108.19,109.06,107.74,107.74,77566.0
2020-01-09,107.74,109.77,101.66,101.66,173268.0
2020-01-10,101.66,102.41,101.07,101.07,97138.0
2020-01-13,101.07,101.53,100.63,100.94,53205.0
2020-01-14,100.94,100.94,99.9,99.9,107864.0
2020-01-15,99.9,101.45,98.41,98.41,121623.0
2020-01-16,98.41,98.8,96.48,96.48,53898.0
2020-01-17,96.48,96.48,95.23,95.84,99394.0
2020-01-20,95.84,96.52,95.09,96.16,53959.0
2020-01-21,96.16,96.88,95.68,96.7,95270.0
2020-01-22,96.7,96.85,95.53,96.85,84872.0
2020-01-23,96.85,96.9,95.56,96.9,29985.0
2020-01-24,96.9,96.9,95.69,95.72,125864.0
2020-01-27,95.72,97.81,95.71,97.81,102837.0
2020-01-28,97.81,98.2,97.56,98.2,91211.0
2020-01-29,98.2,100.56,97.4,100.56,97283.0
2020-01-30,100.56,101.17,99.43,99.43,104765.0
2020-01-31,99.43,100.35,97.05,97.05,124046.0
2020-02-03,97.05,97.54,96.43,96.89,140752.0
2020-02-04,96.89,97.1,95.45,97.03,107861.0
2020-02-05,97.03,98.07,95.35,98.07,106241.0
2020-02-06,98.07,98.63,96.2,96.2,62170.0
2020-02-07,96.2,96.81,94.84,96.73,95015.0
2020-02-10,96.73,97.66,96.73,97.01,106011.0
2020-02-11,97.01,98.34,96.38,98.34,99302.0
2020-02-12,98.34,99.27,97.82,97.82,149273.0
2020-02-13,97.82,98.73,96.5,96.5,135090.0
2020-02-14,96.5,97.17,92.66,92.66,141049.0
2020-02-17,92.66,93.26,92.59,92.59,109533.0
2020-02-18,92.59,93.03,89.32,89.32,173979.0
2020-02-19,89.32,89.32,86.35,86.35,140455.0
2020-02-20,86.35,88.06,86.35,87.29,134025.0
2020-02-21,87.29,87.29,85.93,85.93,82862.0
2020-02-24,85.93,86.07,84.55,84.94,49462.0
2020-02-25,84.94,85.18,83.26,83.26,163749.0
2020-02-26,83.26,84.3,83.26,84.3,142893.0
2020-02-27,84.3,85.97,83.5,85.97,55322.0
2020-02-28,85.97,86.8,85.23,86.8,78779.0
2020-03-02,86.8,87.68,85.96,85.96,99359.0
2020-03-03,85.96,90.98,84.59,90.98,186303.0
2020-03-04,90.98,91.08,90.65,90.65,67001.0
2020-03-05,90.65,91.57,90.47,91.05,82160.0
2020-03-06,91.05,91.05,89.6,89.6,116350.0
2020-03-09,89.6,90.41,88.88,90.41,69702.0
2020-03-10,90.41,90.41,88.01,88.01,85951.0
2020-03-11,88.01,89.14,88.01,88.73,172004.0
2020-03-12,88.73,90.26,88.73,90.26,51588.0
2020-03-13,90.26,90.79,88.41,88.41,104727.0
2020-03-16,88.41,88.41,87.3,88.34,130481.0
2020-03-17,88.34,88.34,86.6,86.6,122864.0
2020-03-18,86.6,86.6,85.14,86.45,55344.0
2020-03-19,86.45,86.97,84.85,84.85,158125.0
2020-03-20,84.85,85.46,83.39,83.39,105361.0
2020-03-23,83.39,84.89,81.4,81.4,130830.0
2020-03-24,81.4,82.65,80.12,80.12,129051.0
2020-03-25,80.12,80.61,78.47,78.47,116134.0
2020-03-26,78.47,78.71,76.99,76.99,82657.0
